,NAME,COHORT,DESCRIPTION
1563,Zigfu,s2011,Layer above Kinect.
1564,Acunote,w2011,Project management.
1565,AppHarbor,w2011,.NET Cloud Platform as a Service
1566,Apportable,w2011,iOS porting
1567,Assembled,w2011,"Pivoted to TenXList, a professional network of top college engineers."
1568,Balanced,w2011,Payments for Marketplaces
1569,Beetailer,w2011,Facebook stores.
1570,Close,w2011,Inside Sales and Sales Automation CRM for SMBs
1571,Comprehend,w2011,SaaS to increase speed and quality of clinical trials.
1572,Convore,w2011,Hosted IRC and so much more.
1573,Custora,w2011,"Custora is a predictive analytics platform for e-commerce marketing teams. We help retailers find high-value customers, and keep them coming back."
1574,DrChrono,w2011,Mission: Building the medical practice of the future. Products: EHR. Medical Billing. Healthcare API.
1575,Earbits,w2011,"Google AdWords for music. Allowing bands and labels to bid for airtime and have their music streamed to qualified audience. Acquired by You42, Inc. in 2015. Contact the founders directly. Founders@ no longer works."
1576,FitFu,w2011,New projects
1577,Fivestars,w2011,Marketing automation for small businesses.
1578,Flotype,w2011,Third generation of web apps.
1579,GOAT,w2011,Sneaker Marketplace
1580,HelloSign,w2011,The #1 eSignature Software for Small and Mid-Market Businesses.
1581,Hotspots,w2011,"Real-time analytics (acq by TWTR, 2012)"
1582,Humble Bundle,w2011,Pay what you want for awesome games and other content while giving to charity.
1583,Hyperink,w2011,Ebook publisher.
1584,Inporia,w2011,Fashion shopping email list.
1585,Insight Data Science,w2011,Turning PhDs & engineers into data scientists & data engineers
1586,Instapainting,w2011,The most popular custom oil painting service in the world. Work with an artist to get a custom piece of hand-painted artwork in under 3 weeks.
1587,Lanyrd,w2011,IMDB of conferences.
1588,Mailgun,w2011,Email API service.
1589,MemSQL,w2011,"ANSI SQL-compliant, distributed, in-memory database for real-time analytics"
1590,Mino Games,w2011,Mobile games company
1591,OrderAhead,w2011,Order ahead for pickup
1592,Pebble,w2011,Watch that helps you get shit done and limit the mayhem of notifications
1593,Sendoid,w2011,High speed peer to peer data transport technology for consumers (Sendoid) and enterprises (Expresso).
1594,Siasto,w2011,"Siasto is a collaboration tool designed for SMBs who use Google Apps, Dropbox, and Box."
1595,SimplyListed,w2011,Sell your stuff.
1596,StoryWorth,w2011,"StoryWorth is the most meaningful gift for your loved ones. StoryWorth makes it easy and fun for them to share stories with their family every week. At the end of the year, they get them all bound in a beautiful hardcover book."
1597,Talkable,w2011,Online store referrals.
1598,TalkBin,w2011,Instore feedback.
1599,TellFi,w2011,Google Voice for business.
1600,Tremendous,w2011,"Helping businesses reward and incentivize anyone in the world, easily and instantly, with gift cards, Visa prepaid cards and money."
1601,TrustEgg,w2011,Trust funds.
1602,Tumult,w2011,"Tumult is building the next generation of apps for web design. Our first app is Hype, the HTML5 animation builder for OS X: http://tumult.com/hype/"
1603,Tutorspree,w2011,Tutor marketplace.
1604,Upverter,w2011,"The future of hardware design. A marketplace for hardware engineering labour, component symbols, footprints, 3d models, access to manufacturing and enterprise grade ECAD for designing electronics, all rolled into one."
1605,Venuetastic,w2011,Venue marketplace.
1606,You Got Listings,w2011,Residential rentals database for brokers and landlords.
1607,ZeroCater,w2011,ZeroCater is the #1 way companies provide family-style meals for their employees.
1608,1000Memories,s2010,Memorial sites.
1609,AdGrok,s2010,Easy SEM software. Acquired by Twitter in 2011.
1610,AeroFS,s2010,Secure Enterprise Collaboration.
1611,AnyList,s2010,The best way to create and share a grocery shopping list and organize your recipes.
1612,Brushes,s2010,iPad drawing software.
1613,Chartio,s2010,"Chartio empowers anyone in a company (not just data analysts) to explore and understand their data. We're profitable with almost 800 customers including the NY Times, IBM, Optimizely, EA, Postmates, Doordash."
1614,Chirply,s2010,Crowdsourced design marketplace for paper goods.
1615,Docker,s2010,App store for server configurations.
1617,Fridge,s2010,Disposable social networks.
1618,Future Advisor,s2010,The online financial management service for everyone. FutureAdvisor advises and manages all of a customer's financial goals together to help everyone achieve a better financial future.
1619,Gantto,s2010,Better Microsoft Project.
1620,GazeHawk,s2010,Eyetracking using webcams.
1621,Ginza,s2010,"SEO & Content Marketing Analytics. Enterprise-focused SaaS with customers in the US, Japan, and other parts of Asia."
1622,Habit Labs,s2010,Friends motivate one another: I'll do x if you do y.
1623,Hipmunk,s2010,"Hipmunk takes the agony out of searching for flights, accommodations, cars, and more."
1624,Homejoy,s2010,platform for home service professionals
1625,inDinero,s2010,Financial dashboard for businesses.
1626,Koduco,s2010,iPad games.
1627,Leftronic,s2010,Business dashboards
1628,MessageParty,s2010,Local chat.
1629,Opzi,s2010,Q&A for businesses.
1630,PadMapper,s2010,Map-based apartment search.
1631,PagerDuty,s2010,Notify you about server troubles.
1632,Post.fm,s2010,New email inbox.
1633,Presto,s2010,"Tablets on restaurant tables, so guests can order, pay and play games from their seat without waiting"
1634,Pribbit,s2010,Like Twitter but you post others' status.
1635,Rapportive,s2010,Add profiles to email.
1636,Ready For Zero,s2010,Help people get out of debt. Simplified personal debt and credit management. Acquired by Avant in 2015.
1637,Recurse Center,s2010,"The Recurse Center is a self-directed, community-driven educational retreat for programmers, with an integrated recruiting agency. We believe people learn best when they take control of their own education and are free to explore their interests."
1638,Simperium,s2010,Simplenote (simplenote.com) and the Simperium platform for syncing data. Acquired by Automattic (WordPress.com).
1639,Tapzilla,s2010,Woot for iOS apps.
1640,Teevox,s2010,Teevox
1641,Upbeat,s2010,Upbeat: Building the next generation of Public Relations (PR)
1642,Whereoscope,s2010,"Location-aware smartphone application that enables parents to keep track of their children, without battery drain. Acquired by Zynga and Facebook in 2011."
1643,WorkFlowy,s2010,"WorkFlowy is a better way to manage information. It provides a simple mechanism - zoomable, searchable, shareable bulleted lists - that has startling versatility and power."
1644,500Friends,w2010,the best loyalty and retention marketing partner for CMOs.
1645,All Screen,w2010,Connecting users with engaging video content across the web. Acquired by Zealot Networks for $85m
1647,Bitplay,w2010,Effortless Video Meetings - Acquired by Jive Software in 2013
1649,Creative Market,w2010,Marketplace for ready-to-use design assets from independent creators around the world. Acquired by Autodesk in February 2014. Spun out again in July 2017.
1650,Crocodoc,w2010,"Crocodoc allows developers to embed high-fidelity PDFs, PowerPoints, and other documents into their web and mobile apps. To date we've processed > 1 billion documents for customers including LinkedIn and Dropbox. We were acquired by Box in 2013."
1660,LaunchHear,w2010,LaunchHear was a startup attempting to make PR scale in the same way that Google AdWords made advertising scale. Here is the postmortem: https://www.fwdeveryone.com/t/-Gk8HmiRSZ-mrUxE0rH3SQ/deadpooling-launchhear
1662,Movity,w2010,Real estate data visualization. Sold to Trulia Dec 2010: http://allthingsd.com/20101220/trulia-acquires-movity/
1667,Optimizely,w2010,A/B testing.
1668,OwnLocal,w2010,"OwnLocal automates marketing for over 129,000 SMBs through 3,300 local media partners in North America, Australia and UK."
1669,Zencoder,w2010,"Video Encoding API, Open source video player (video.js)"
1672,Alphacare,s2009,A Universal mental healthcare system for psychedelic medicine
1673,Bump,s2009,"Bump, Flock, Photoroll (unreleased) => Google Photos"
1674,CarWoo,s2009,The best way to buy a new car.
1676,Directed Edge,s2009,Product recommendations.
1677,Fanchatter,s2009,"FanChatter aggregates, amplifies and empowers fan content on every screen to promote any interest."
1679,GraffitiGeo,s2009,We let you know where to go and what to get once you get there. (Acquired by Loopt in 2009)
1680,HighlightCam,s2009,"HighlightCam edits video, automatically!"
1683,Lingt,s2009,Lingt provided a web-based platform for learning languages leveraging gaming mechanics and spaced repetition. It was acquired by dictionary.com at the end of 2010.
1684,Listia,s2009,Mobile marketplace for trading used goods.
1685,Lockitron,s2009,Lockitron makes electronic locks you can control locally from your phone or remotely through the internet.
1686,Mixpanel,s2009,Mixpanel is the most advanced analytics platform in the world for mobile & web.
